	timepoint	replicate_id	treatment	cc_state	lin_state	lon_state
cell00106	5	1	N_N_N_N_N	1	8	1
cell00107	2	1	N_N	0	2	2
cell00108	5	1	N_N_N_N_N	0	14	1
cell00109	3	1	N_N_N	2	5	2
cell00110	3	1	N_N_N	3	2	1
cell00111	4	1	N_N_N_N	2	9	2
cell00112	1	1	N	2	1	1
cell00113	4	1	N_N_N_N	0	8	0
cell00114	5	1	N_N_N_N_N	1	9	2
cell00115	2	1	N_N	3	3	2
cell00116	5	1	N_N_N_N_N	0	14	1
cell00117	3	1	N_N_N	0	2	0
cell00118	4	1	N_N_N_N	2	5	2
cell00119	3	1	N_N_N	2	3	0
cell00120	4	1	N_N_N_N	1	5	1
cell00121	3	1	N_N_N	2	4	2
cell00122	4	1	N_N_N_N	3	11	1
cell00123	1	1	N	1	1	1
cell00124	3	1	N_N_N	0	7	2
cell00125	5	1	N_N_N_N_N	1	8	3
cell00126	2	1	N_N	0	1	1
cell00127	5	1	N_N_N_N_N	3	18	0
cell00128	5	1	N_N_N_N_N	0	18	0
cell00129	4	1	N_N_N_N	1	7	3
cell00130	5	1	N_N_N_N_N	0	14	2
cell00131	5	1	N_N_N_N_N	1	10	2
cell00132	2	1	N_N	3	3	2
cell00133	5	1	N_N_N_N_N	2	15	3
cell00134	3	1	N_N_N	3	3	2
cell00135	5	1	N_N_N_N_N	2	10	0
cell00136	4	1	N_N_N_N	3	8	1
cell00137	5	1	N_N_N_N_N	2	16	2
cell00138	2	1	N_N	2	2	3
cell00139	4	1	N_N_N_N	1	6	3
cell00140	4	1	N_N_N_N	3	10	2
cell00141	2	1	N_N	3	1	0
cell00142	5	1	N_N_N_N_N	1	17	1
cell00143	4	1	N_N_N_N	3	8	2
cell00144	4	1	N_N_N_N	2	9	3
cell00145	4	1	N_N_N_N	0	5	3
cell00146	3	1	N_N_N	3	3	3
cell00147	3	1	N_N_N	0	6	2
cell00148	4	1	N_N_N_N	0	4	1
cell00149	5	1	N_N_N_N_N	2	12	3
cell00150	1	1	N	0	0	1
cell00151	3	1	N_N_N	2	3	1
cell00152	4	1	N_N_N_N	2	8	1
cell00153	4	1	N_N_N_N	2	8	3
cell00154	5	1	N_N_N_N_N	2	11	2
cell00155	1	1	N	1	1	1
cell00156	5	1	N_N_N_N_N	0	18	1
cell00157	5	1	N_N_N_N_N	2	15	1
cell00158	5	1	N_N_N_N_N	3	11	1
cell00159	2	1	N_N	2	2	3
cell00160	5	1	N_N_N_N_N	1	14	3
cell00161	3	1	N_N_N	3	7	2
cell00162	4	1	N_N_N_N	1	10	3
cell00163	5	1	N_N_N_N_N	0	12	1
cell00164	2	1	N_N	0	1	1
cell00165	4	1	N_N_N_N	1	10	3
cell00166	5	1	N_N_N_N_N	2	16	2
cell00167	5	1	N_N_N_N_N	0	11	1
cell00168	4	1	N_N_N_N	3	10	3
cell00169	5	1	N_N_N_N_N	2	17	2
cell00170	3	1	N_N_N	1	7	2
cell00171	5	1	N_N_N_N_N	0	15	0
cell00172	5	1	N_N_N_N_N	0	18	1
cell00173	5	1	N_N_N_N_N	1	18	0
cell00174	3	1	N_N_N	0	2	2
cell00175	4	1	N_N_N_N	2	4	2
cell00176	5	1	N_N_N_N_N	2	11	0
cell00177	5	1	N_N_N_N_N	0	17	2
cell00178	3	1	N_N_N	1	3	3
cell00179	4	1	N_N_N_N	0	7	1
cell00180	5	1	N_N_N_N_N	0	14	1
cell00181	5	1	N_N_N_N_N	0	17	2
cell00182	1	1	N	2	0	3
cell00183	3	1	N_N_N	1	2	2
cell00184	5	1	N_N_N_N_N	0	11	3
cell00185	2	1	N_N	2	1	3
cell00186	4	1	N_N_N_N	3	6	0
cell00187	3	1	N_N_N	0	2	1
cell00188	5	1	N_N_N_N_N	3	16	1
cell00189	5	1	N_N_N_N_N	3	14	0
cell00190	4	1	N_N_N_N	2	4	0
cell00191	5	1	N_N_N_N_N	1	16	1
cell00192	4	1	N_N_N_N	1	7	2
cell00193	4	1	N_N_N_N	0	5	2
cell00194	2	1	N_N	2	1	2
cell00195	5	1	N_N_N_N_N	1	11	1
cell00196	2	1	N_N	1	2	1
cell00197	4	1	N_N_N_N	0	5	2
cell00198	3	1	N_N_N	2	2	3
cell00199	4	1	N_N_N_N	2	12	1
cell00200	3	1	N_N_N	2	2	2
cell00201	5	1	N_N_N_N_N	3	17	0
cell00202	3	1	N_N_N	1	3	1
cell00203	4	1	N_N_N_N	3	12	1
cell00204	3	1	N_N_N	3	4	2
cell00205	4	1	N_N_N_N	3	6	1
cell00206	5	1	N_N_N_N_N	3	13	1
cell00207	3	1	N_N_N	2	2	0
cell00208	2	1	N_N	1	1	1
cell00209	3	1	N_N_N	3	2	1
cell00210	3	1	N_N_N	1	5	2
cell00211	3	1	N_N_N	1	2	2
cell00212	5	1	N_N_N_N_N	0	16	3
cell00213	3	1	N_N_N	3	2	2
cell00214	2	1	N_N	3	1	2
cell00215	3	1	N_N_N	3	4	2
cell00216	4	1	N_N_N_N	1	5	1
cell00217	5	1	N_N_N_N_N	1	8	0
cell00218	5	1	N_N_N_N_N	3	16	2
cell00219	4	1	N_N_N_N	2	4	0
cell00220	5	1	N_N_N_N_N	0	16	1
cell00221	3	1	N_N_N	1	6	3
cell00222	5	1	N_N_N_N_N	0	11	1
cell00223	5	1	N_N_N_N_N	3	14	2
cell00224	5	1	N_N_N_N_N	0	11	3
cell00225	4	1	N_N_N_N	3	6	2
cell00226	4	1	N_N_N_N	0	8	1
cell00227	3	1	N_N_N	3	2	0
cell00228	5	1	N_N_N_N_N	2	11	2
cell00229	5	1	N_N_N_N_N	3	11	3
cell00230	3	1	N_N_N	0	7	3
cell00231	3	1	N_N_N	1	3	2
cell00232	3	1	N_N_N	2	5	2
cell00233	4	1	N_N_N_N	0	7	0
cell00234	3	1	N_N_N	2	2	1
cell00235	3	1	N_N_N	2	4	3
cell00236	3	1	N_N_N	3	5	0
cell00237	4	1	N_N_N_N	1	10	2
cell00238	5	1	N_N_N_N_N	2	13	2
cell00239	2	1	N_N	1	3	2
cell00240	5	1	N_N_N_N_N	0	17	1
cell00241	4	1	N_N_N_N	1	7	1
cell00242	5	1	N_N_N_N_N	3	10	1
cell00243	3	1	N_N_N	0	5	1
cell00244	2	1	N_N	1	3	0
cell00245	3	1	N_N_N	3	4	3
cell00246	5	1	N_N_N_N_N	3	11	3
cell00247	4	1	N_N_N_N	2	7	1
cell00248	3	1	N_N_N	0	3	3
cell00249	3	1	N_N_N	1	6	2
cell00250	1	1	N	3	0	0
cell00251	5	1	N_N_N_N_N	2	16	2
cell00252	3	1	N_N_N	1	3	0
cell00253	3	1	N_N_N	0	2	0
cell00254	2	1	N_N	3	3	2
cell00255	3	1	N_N_N	2	7	0
cell00256	3	1	N_N_N	2	5	2
cell00257	5	1	N_N_N_N_N	3	15	0
cell00258	5	1	N_N_N_N_N	1	12	1
cell00259	4	1	N_N_N_N	2	10	2
cell00260	5	1	N_N_N_N_N	0	13	0
cell00261	3	1	N_N_N	3	7	1
cell00262	3	1	N_N_N	3	3	0
cell00263	5	1	N_N_N_N_N	1	11	0
cell00264	4	1	N_N_N_N	3	5	1
cell00265	2	1	N_N	3	2	0
cell00266	3	1	N_N_N	0	2	3
cell00267	5	1	N_N_N_N_N	1	18	1
cell00268	1	1	N	0	0	3
cell00269	5	1	N_N_N_N_N	0	11	2
cell00270	4	1	N_N_N_N	1	12	0
cell00271	3	1	N_N_N	3	7	2
cell00272	5	1	N_N_N_N_N	1	9	0
cell00273	5	1	N_N_N_N_N	3	11	1
cell00274	5	1	N_N_N_N_N	0	9	2
cell00275	5	1	N_N_N_N_N	1	13	2
cell00276	2	1	N_N	0	1	0
cell00277	3	1	N_N_N	2	3	2
cell00278	5	1	N_N_N_N_N	1	8	2
cell00279	3	1	N_N_N	0	3	3
cell00280	4	1	N_N_N_N	1	11	1
cell00281	1	1	N	1	0	1
cell00282	2	1	N_N	0	1	1
cell00283	4	1	N_N_N_N	2	5	1
cell00284	5	1	N_N_N_N_N	3	14	1
cell00285	4	1	N_N_N_N	0	8	2
cell00286	5	1	N_N_N_N_N	0	18	2
cell00287	5	1	N_N_N_N_N	3	12	0
cell00288	3	1	N_N_N	0	6	2
cell00289	3	1	N_N_N	0	7	0
cell00290	3	1	N_N_N	3	3	0
cell00291	4	1	N_N_N_N	2	9	0
cell00292	3	1	N_N_N	0	5	2
cell00293	4	1	N_N_N_N	3	5	2
cell00294	4	1	N_N_N_N	2	9	1
cell00295	5	1	N_N_N_N_N	0	18	1
cell00296	4	1	N_N_N_N	3	5	0
cell00297	4	1	N_N_N_N	0	11	2
cell00298	3	1	N_N_N	2	5	1
cell00299	5	1	N_N_N_N_N	3	14	3
cell00300	5	1	N_N_N_N_N	0	11	1
cell00301	3	1	N_N_N	3	5	2
cell00302	4	1	N_N_N_N	2	4	2
cell00303	4	1	N_N_N_N	0	5	3
cell00304	5	1	N_N_N_N_N	3	11	2
cell00305	3	1	N_N_N	3	3	2
cell00306	4	1	N_N_N_N	3	5	3
cell00307	5	1	N_N_N_N_N	1	12	2
cell00308	5	1	N_N_N_N_N	0	18	2
cell00309	3	1	N_N_N	1	2	1
cell00310	1	1	N	3	0	1
cell00311	5	1	N_N_N_N_N	3	11	1
cell00312	3	1	N_N_N	2	3	1
cell00313	3	1	N_N_N	0	3	2
cell00314	5	1	N_N_N_N_N	1	12	3
cell00315	2	1	N_N	1	2	0
cell00316	4	1	N_N_N_N	1	8	2
cell00317	3	1	N_N_N	1	4	3
cell00318	3	1	N_N_N	0	6	1
cell00319	5	1	N_N_N_N_N	3	15	2
cell00320	4	1	N_N_N_N	2	11	1
cell00321	2	1	N_N	0	1	0
cell00322	3	1	N_N_N	3	5	1
cell00323	5	1	N_N_N_N_N	0	12	1
cell00324	4	1	N_N_N_N	0	7	2
cell00325	5	1	N_N_N_N_N	1	11	0
cell00326	5	1	N_N_N_N_N	0	10	2
cell00327	5	1	N_N_N_N_N	3	13	2
cell00328	5	1	N_N_N_N_N	0	14	0
cell00329	5	1	N_N_N_N_N	1	11	2
cell00330	4	1	N_N_N_N	3	8	2
cell00331	1	1	N	2	1	1
cell00332	2	1	N_N	0	1	2
cell00333	5	1	N_N_N_N_N	0	10	2
cell00334	3	1	N_N_N	1	2	2
cell00335	4	1	N_N_N_N	3	7	1
cell00336	3	1	N_N_N	3	4	3
cell00337	4	1	N_N_N_N	3	5	0
cell00338	3	1	N_N_N	3	7	3
cell00339	2	1	N_N	3	1	2
cell00340	1	1	N	0	0	3
cell00341	5	1	N_N_N_N_N	3	10	2
cell00342	5	1	N_N_N_N_N	1	9	3
cell00343	2	1	N_N	2	2	2
cell00344	2	1	N_N	3	1	1
cell00345	2	1	N_N	3	1	2
cell00346	2	1	N_N	1	2	3
cell00347	5	1	N_N_N_N_N	1	13	2
cell00348	5	1	N_N_N_N_N	3	9	2
cell00349	5	1	N_N_N_N_N	3	17	1
cell00350	3	1	N_N_N	0	6	2
cell00351	2	1	N_N	1	1	1
cell00352	5	1	N_N_N_N_N	1	17	0
cell00353	5	1	N_N_N_N_N	1	16	1
cell00354	4	1	N_N_N_N	3	9	2
cell00355	3	1	N_N_N	0	2	2
cell00356	5	1	N_N_N_N_N	3	14	3
cell00357	3	1	N_N_N	1	3	3
cell00358	5	1	N_N_N_N_N	3	18	2
cell00359	4	1	N_N_N_N	0	11	3
cell00360	2	1	N_N	3	3	2
cell00361	3	1	N_N_N	3	2	2
cell00362	3	1	N_N_N	1	3	2
cell00363	3	1	N_N_N	1	4	2
cell00364	4	1	N_N_N_N	3	7	2
cell00365	3	1	N_N_N	3	4	2
cell00366	5	1	N_N_N_N_N	1	11	1
cell00367	4	1	N_N_N_N	3	8	1
cell00368	2	1	N_N	0	1	3
cell00369	2	1	N_N	2	1	0
cell00370	3	1	N_N_N	3	5	1
cell00371	4	1	N_N_N_N	3	5	1
cell00372	3	1	N_N_N	2	5	0
cell00373	5	1	N_N_N_N_N	0	12	2
cell00374	4	1	N_N_N_N	1	5	1
cell00375	3	1	N_N_N	1	6	0
cell00376	4	1	N_N_N_N	0	5	2
cell00377	4	1	N_N_N_N	1	8	3
cell00378	2	1	N_N	3	1	1
cell00379	5	1	N_N_N_N_N	3	13	2
cell00380	4	1	N_N_N_N	3	8	1
cell00381	4	1	N_N_N_N	0	12	1
cell00382	5	1	N_N_N_N_N	3	11	1
cell00383	4	1	N_N_N_N	1	11	1
cell00384	4	1	N_N_N_N	0	9	1
cell00385	4	1	N_N_N_N	1	8	1
cell00386	4	1	N_N_N_N	3	6	1
cell00387	3	1	N_N_N	2	3	3
cell00388	4	1	N_N_N_N	2	4	1
cell00389	4	1	N_N_N_N	2	9	2
cell00390	5	1	N_N_N_N_N	0	17	3
cell00391	2	1	N_N	1	3	1
cell00392	2	1	N_N	3	2	2
cell00393	5	1	N_N_N_N_N	2	8	3
cell00394	5	1	N_N_N_N_N	3	14	1
cell00395	5	1	N_N_N_N_N	3	18	0
cell00396	2	1	N_N	2	2	1
cell00397	5	1	N_N_N_N_N	2	9	2
cell00398	3	1	N_N_N	0	5	0
cell00399	5	1	N_N_N_N_N	2	12	0
cell00400	3	1	N_N_N	3	5	3
cell00401	3	1	N_N_N	1	7	2
cell00402	4	1	N_N_N_N	2	9	2
cell00403	3	1	N_N_N	0	4	3
cell00404	2	1	N_N	0	1	3
cell00405	5	1	N_N_N_N_N	1	14	1
cell00406	2	1	N_N	1	2	1
cell00407	5	1	N_N_N_N_N	1	18	0
cell00408	2	1	N_N	1	3	2
cell00409	5	1	N_N_N_N_N	2	10	1
cell00410	5	1	N_N_N_N_N	3	11	2
cell00411	5	1	N_N_N_N_N	0	15	2
cell00412	5	1	N_N_N_N_N	3	17	2
cell00413	4	1	N_N_N_N	3	8	0
cell00414	5	1	N_N_N_N_N	2	12	1
cell00415	4	1	N_N_N_N	1	4	1
cell00416	4	1	N_N_N_N	0	4	2
cell00417	2	1	N_N	0	1	3
cell00418	3	1	N_N_N	1	2	2
cell00419	3	1	N_N_N	3	6	3
cell00420	2	1	N_N	3	1	3
cell00421	4	1	N_N_N_N	0	8	2
cell00422	3	1	N_N_N	1	3	2
cell00423	5	1	N_N_N_N_N	1	12	1
cell00424	5	1	N_N_N_N_N	2	14	3
cell00425	5	1	N_N_N_N_N	0	8	3
cell00426	3	1	N_N_N	3	3	0
cell00427	2	1	N_N	3	3	2
cell00428	3	1	N_N_N	1	6	3
cell00429	1	1	N	3	1	3
cell00430	3	1	N_N_N	0	7	1
cell00431	1	1	N	0	1	1
cell00432	4	1	N_N_N_N	3	9	1
cell00433	5	1	N_N_N_N_N	2	17	2
cell00434	5	1	N_N_N_N_N	0	14	0
cell00435	4	1	N_N_N_N	3	12	1
cell00436	5	1	N_N_N_N_N	2	11	1
cell00437	4	1	N_N_N_N	2	9	3
cell00438	5	1	N_N_N_N_N	0	16	1
cell00439	5	1	N_N_N_N_N	2	8	1
cell00440	5	1	N_N_N_N_N	1	11	1
cell00441	4	1	N_N_N_N	1	12	2
cell00442	5	1	N_N_N_N_N	2	8	2
cell00443	4	1	N_N_N_N	1	10	2
cell00444	4	1	N_N_N_N	0	5	2
cell00445	4	1	N_N_N_N	1	6	3
cell00446	1	1	N	3	1	2
cell00447	2	1	N_N	3	3	2
cell00448	5	1	N_N_N_N_N	0	10	1
cell00449	5	1	N_N_N_N_N	1	8	2
cell00450	5	1	N_N_N_N_N	2	16	2
cell00451	3	1	N_N_N	1	7	1
cell00452	1	1	N	3	1	2
cell00453	4	1	N_N_N_N	2	5	1
cell00454	3	1	N_N_N	0	2	2
cell00455	3	1	N_N_N	0	3	3
cell00456	4	1	N_N_N_N	0	5	1
cell00457	2	1	N_N	1	3	3
cell00458	3	1	N_N_N	3	3	2
cell00459	4	1	N_N_N_N	2	8	2
cell00460	4	1	N_N_N_N	0	12	1
cell00461	4	1	N_N_N_N	1	5	0
cell00462	4	1	N_N_N_N	2	7	1
cell00463	2	1	N_N	1	1	3
cell00464	2	1	N_N	0	1	3
cell00465	3	1	N_N_N	2	2	0
cell00466	3	1	N_N_N	2	6	3
cell00467	3	1	N_N_N	1	7	2
cell00468	3	1	N_N_N	3	4	2
cell00469	3	1	N_N_N	2	2	1
cell00470	5	1	N_N_N_N_N	3	9	1
cell00471	4	1	N_N_N_N	1	5	0
cell00472	4	1	N_N_N_N	1	6	3
cell00473	1	1	N	3	1	3
cell00474	3	1	N_N_N	2	3	1
cell00475	2	1	N_N	3	2	1
cell00476	4	1	N_N_N_N	0	4	2
cell00477	2	1	N_N	1	3	2
cell00478	4	1	N_N_N_N	3	10	2
cell00479	5	1	N_N_N_N_N	3	16	2
cell00480	4	1	N_N_N_N	2	4	0
cell00481	1	1	N	3	0	2
cell00482	4	1	N_N_N_N	0	6	2
cell00483	3	1	N_N_N	0	7	1
cell00484	5	1	N_N_N_N_N	2	16	2
cell00485	3	1	N_N_N	2	6	3
cell00486	1	1	N	1	1	2
cell00487	5	1	N_N_N_N_N	1	12	0
cell00488	1	1	N	2	1	3
cell00489	3	1	N_N_N	1	6	2
cell00490	5	1	N_N_N_N_N	3	16	3
cell00491	5	1	N_N_N_N_N	2	10	2
cell00492	5	1	N_N_N_N_N	2	10	1
cell00493	4	1	N_N_N_N	3	11	1
cell00494	3	1	N_N_N	2	3	2
cell00495	5	1	N_N_N_N_N	2	12	1
cell00496	5	1	N_N_N_N_N	0	13	3
cell00497	4	1	N_N_N_N	3	7	2
cell00498	2	1	N_N	2	1	1
cell00499	5	1	N_N_N_N_N	2	11	1
cell00500	4	1	N_N_N_N	1	11	1
cell00501	1	1	N	2	1	2
cell00502	2	1	N_N	1	3	3
cell00503	5	1	N_N_N_N_N	1	9	2
cell00504	2	1	N_N	0	1	3
cell00505	5	1	N_N_N_N_N	2	9	0
cell00506	5	1	N_N_N_N_N	1	8	1
cell00507	5	1	N_N_N_N_N	2	17	1
cell00508	3	1	N_N_N	3	5	1
cell00509	5	1	N_N_N_N_N	2	16	3
cell00510	2	1	N_N	2	1	1
cell00511	5	1	N_N_N_N_N	2	16	3
cell00512	5	1	N_N_N_N_N	2	17	2
cell00513	3	1	N_N_N	1	7	2
cell00514	5	1	N_N_N_N_N	1	15	1
cell00515	4	1	N_N_N_N	2	11	2
cell00516	4	1	N_N_N_N	2	6	1
cell00517	5	1	N_N_N_N_N	2	12	2
cell00518	1	1	N	1	1	1
cell00519	3	1	N_N_N	0	2	0
cell00520	3	1	N_N_N	2	2	3
cell00521	1	1	N	2	1	2
cell00522	5	1	N_N_N_N_N	3	18	3
cell00523	2	1	N_N	0	3	2
cell00524	3	1	N_N_N	1	7	3
cell00525	1	1	N	1	1	2
cell00526	4	1	N_N_N_N	1	12	2
cell00527	3	1	N_N_N	2	3	1
cell00528	4	1	N_N_N_N	0	4	1
cell00529	5	1	N_N_N_N_N	0	14	1
cell00530	3	1	N_N_N	2	4	2
cell00531	3	1	N_N_N	3	2	1
cell00532	4	1	N_N_N_N	3	8	1
cell00533	4	1	N_N_N_N	1	6	1
cell00534	3	1	N_N_N	2	4	0
cell00535	2	1	N_N	1	1	1
cell00536	2	1	N_N	0	1	3
cell00537	5	1	N_N_N_N_N	2	17	1
cell00538	5	1	N_N_N_N_N	1	12	0
cell00539	4	1	N_N_N_N	2	7	3
cell00540	3	1	N_N_N	1	3	1
cell00541	4	1	N_N_N_N	0	6	2
cell00542	2	1	N_N	0	2	1
cell00543	2	1	N_N	3	1	0
cell00544	4	1	N_N_N_N	3	7	2
cell00545	3	1	N_N_N	2	4	1
cell00546	4	1	N_N_N_N	1	6	0
cell00547	3	1	N_N_N	1	2	2
cell00548	4	1	N_N_N_N	3	10	1
cell00549	3	1	N_N_N	3	2	2
cell00550	2	1	N_N	1	3	2
cell00551	3	1	N_N_N	2	3	2
cell00552	1	1	N	2	0	2
cell00553	5	1	N_N_N_N_N	1	15	3
cell00554	5	1	N_N_N_N_N	1	11	1
cell00555	5	1	N_N_N_N_N	3	14	2
cell00556	5	1	N_N_N_N_N	2	16	2
cell00557	5	1	N_N_N_N_N	1	10	1
cell00558	4	1	N_N_N_N	1	5	2
cell00559	4	1	N_N_N_N	1	5	1
cell00560	4	1	N_N_N_N	0	8	2
cell00561	4	1	N_N_N_N	3	4	1
cell00562	3	1	N_N_N	1	7	0
cell00563	5	1	N_N_N_N_N	0	13	0
cell00564	2	1	N_N	1	1	1
cell00565	4	1	N_N_N_N	0	7	0
cell00566	3	1	N_N_N	1	3	3
cell00567	3	1	N_N_N	3	2	1
cell00568	5	1	N_N_N_N_N	0	12	1
cell00569	4	1	N_N_N_N	1	4	3
cell00570	5	1	N_N_N_N_N	3	17	1
cell00571	5	1	N_N_N_N_N	1	9	0
cell00572	3	1	N_N_N	1	2	0
cell00573	4	1	N_N_N_N	1	10	0
cell00574	4	1	N_N_N_N	0	5	1
cell00575	3	1	N_N_N	2	4	3
cell00576	3	1	N_N_N	2	6	2
cell00577	4	1	N_N_N_N	3	4	2
cell00578	3	1	N_N_N	0	2	0
cell00579	5	1	N_N_N_N_N	1	8	2
cell00580	4	1	N_N_N_N	2	5	1
cell00581	5	1	N_N_N_N_N	1	11	1
cell00582	3	1	N_N_N	3	2	1
cell00583	2	1	N_N	3	1	3
cell00584	2	1	N_N	1	2	1
cell00585	5	1	N_N_N_N_N	2	13	3
cell00586	3	1	N_N_N	0	7	2
cell00587	4	1	N_N_N_N	2	5	1
cell00588	5	1	N_N_N_N_N	3	14	1
cell00589	2	1	N_N	3	1	3
cell00590	5	1	N_N_N_N_N	1	10	3
cell00591	2	1	N_N	1	1	1
cell00592	2	1	N_N	1	3	3
cell00593	4	1	N_N_N_N	2	8	2
cell00594	1	1	N	2	1	2
cell00595	2	1	N_N	1	1	3
cell00596	4	1	N_N_N_N	0	7	2
cell00597	5	1	N_N_N_N_N	3	18	1
cell00598	4	1	N_N_N_N	0	11	0
cell00599	5	1	N_N_N_N_N	3	10	1
cell00600	3	1	N_N_N	3	5	3
cell00601	2	1	N_N	0	2	1
cell00602	2	1	N_N	1	1	1
cell00603	2	1	N_N	2	2	0
cell00604	4	1	N_N_N_N	3	4	3
cell00605	2	1	N_N	3	2	1
cell00606	3	1	N_N_N	3	5	3
cell00607	1	1	N	1	1	2
cell00608	5	1	N_N_N_N_N	3	11	1
cell00609	2	1	N_N	0	3	3
cell00610	3	1	N_N_N	3	4	2
cell00611	2	1	N_N	0	3	2
cell00612	5	1	N_N_N_N_N	3	11	2
cell00613	5	1	N_N_N_N_N	2	15	1
cell00614	5	1	N_N_N_N_N	3	15	2
cell00615	4	1	N_N_N_N	3	5	0
cell00616	5	1	N_N_N_N_N	0	10	2
cell00617	4	1	N_N_N_N	0	11	1
cell00618	2	1	N_N	3	1	0
cell00619	5	1	N_N_N_N_N	2	10	0
cell00620	3	1	N_N_N	0	3	1
cell00621	1	1	N	0	0	2
cell00622	2	1	N_N	1	2	0
